C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:33:20

sptypes = 'A'
-------------

Number of objects : 11389

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
152  |HD 224600                          |*  |23 59 05.7273895141 +55 57 21.934235210|     ~| 8.38 | 8.36 |     ~|     ~|A              |  11|   0
153  |HD 223344                          |*  |23 48 39.1953983084 +55 06 35.330813787|     ~| 9.37 | 9.27 |     ~|     ~|A              |   2|   0
154  |HD 223970                          |*  |23 54 01.4353363848 +55 26 25.241306367|     ~| 9.01 | 8.91 |     ~|     ~|A              |   2|   0
155  |HD 223530                          |*  |23 50 10.7478732733 +54 21 30.568771686|     ~| 9.25 | 9.16 |     ~|     ~|A              |   2|   0
156  |HD 223058                          |*  |23 46 01.4660121294 +55 18 27.954247337|     ~| 8.90 | 8.82 |     ~|     ~|A              |   1|   0
157  |HD 206                             |*  |00 06 59.6748240910 +53 58 29.469742564|     ~| 9.01 | 8.98 |     ~|     ~|A              |   9|   0
158  |TYC 3656-1328-1                    |*  |00 09 21.9854237293 +54 39 43.919291825|     ~|11.47 |11.37 |     ~|     ~|A              |  21|   1
159  |HD 2852                            |*  |00 32 23.8171888356 +53 56 40.117456371|     ~| 9.21 | 8.94 |     ~|     ~|ApSr           |   7|   0
160  |HD 5416                            |*  |00 56 43.4187731464 +53 21 01.211249186|     ~| 9.44 | 9.32 |     ~|     ~|A              |   1|   0
161  |BD+53 156                          |*  |00 51 34.1249317816 +54 13 19.665186340|     ~| 9.51 | 9.46 |     ~|     ~|Ap             |   3|   0
162  |BD+52 297                          |*  |01 16 57.3498294121 +53 45 28.015608636|     ~|10.09 | 9.11 |     ~|     ~|A              |   5|   0
163  |HD 8494                            |*  |01 25 08.8219339299 +53 56 24.654444945|     ~| 9.82 | 9.51 |     ~|     ~|A              |   3|   0
164  |HD 8193                            |*  |01 22 18.6886211368 +53 18 02.461038060|     ~| 9.54 | 9.25 |     ~|     ~|A              |   1|   0
