C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:33:20

sptypes = 'A'
-------------

Number of objects : 11389

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
186  |CCDM J20188+4244AB                 |** |20 18 50.6292 +42 43 49.254            |     ~| 8.75 | 8.80 |     ~|     ~|A              |   8|   0
187  |HD 194240                          |** |20 22 51.41 +42 43 16.0                |     ~|     ~|     ~|     ~|     ~|A              |   7|   0
188  |HD 195376                          |*  |20 29 15.4789347565 +42 16 47.520892786|     ~| 8.80 | 8.84 |     ~|     ~|A              |   3|   0
189  |Cl* NGC 6910 SIC 121               |*  |20 24 31.3380346191 +42 13 34.276240136|     ~|13.38 |12.62 |     ~|     ~|A              |   2|   0
190  |Cl* NGC 6910 SIC 124               |*  |20 24 35.9467292485 +42 15 26.735405774|     ~|12.67 |11.30 |     ~|     ~|A              |   2|   0
191  |HD 229170                          |*  |20 23 00.0826423303 +41 50 42.340674075|     ~|11.08 |10.85 |     ~|     ~|A              |   2|   0
192  |HD 196019                          |*  |20 32 57.4927147497 +45 36 51.493014846|     ~| 8.85 | 8.72 |     ~|     ~|A              |   1|   0
193  |BD+44 3544                         |*  |20 41 53.2912279485 +44 51 07.916260072|     ~|10.61 |10.09 |     ~|     ~|A              |   0|   0
194  |EM* UHA 58                         |Em*|20 53 33.6549680977 +46 00 11.307838234|     ~|13.5  |13.0  |     ~|     ~|A              |   3|   0
195  |HD 201231                          |** |21 06 32.6927 +48 23 12.497            |     ~| 9.29 | 9.18 |     ~|     ~|A              |   4|   0
196  |BD+46 3168                         |*  |21 04 55.7287595049 +47 29 47.326925469|     ~| 9.96 | 9.62 |     ~|     ~|Am             |   7|   0
197  |HD 202085                          |*  |21 12 03.6606369984 +49 11 26.961677075|     ~| 8.76 | 8.66 |     ~|     ~|A              |   1|   0
198  |TYC 3603-1962-1                    |*  |21 36 06.2069642948 +52 28 34.106690341|     ~|11.45 |10.90 |     ~|     ~|A              |   0|   0
199  |BD+53 2700                         |*  |21 45 57.7008570094 +53 42 36.137781035|     ~|10.09 | 9.79 |     ~|     ~|A              |   0|   0
200  |HD 209179                          |V* |21 59 55.6259170596 +54 04 26.364461396|     ~| 9.00 | 8.97 |     ~|     ~|A              |   1|   0
201  |HD 210886                          |*  |22 12 05.7147132941 +55 45 30.651162692|     ~| 9.75 | 9.58 |     ~|     ~|A              |   7|   0
202  |TYC 3973-679-1                     |*  |22 01 20.5599911950 +55 13 43.117987676|     ~|11.41 |10.92 |     ~|     ~|A              |   0|   0
203  |HD 235762                          |*  |22 13 27.2000711832 +54 33 09.520139193|     ~| 9.84 | 9.60 |     ~|     ~|A              |   5|   0
204  |HD 211208                          |*  |22 14 12.2810950012 +54 32 47.288448108|     ~| 9.22 | 9.11 |     ~|     ~|A              |   5|   0
205  |HD 211058                          |*  |22 13 09.2549762618 +53 54 13.807911025|     ~| 9.14 | 9.00 |     ~|     ~|A              |   2|   0
206  |TYC 3973-1534-1                    |*  |22 09 02.8327403872 +54 27 05.707670122|     ~|11.4  |10.9  |     ~|     ~|A              |   1|   0
207  |HD 211903                          |*  |22 19 05.9872909471 +56 17 30.804156905|     ~| 9.10 | 8.90 |     ~|     ~|A              |   7|   0
208  |HD 212070                          |*  |22 20 20.7124389489 +56 06 41.619378493|     ~| 9.39 | 9.26 |     ~|     ~|A              |   7|   0
209  |HD 212711                          |*  |22 25 06.5412038666 +56 15 11.753474437|     ~| 9.49 | 9.26 |     ~|     ~|A              |   6|   0
210  |HD 240034                          |*  |22 42 58.4710982972 +57 18 27.038158714|     ~|10.54 |10.26 |     ~|     ~|A              |   3|   0
211  |HD 215268                          |*  |22 42 53.9371221667 +56 40 05.688489144|     ~| 9.03 | 8.70 |     ~|     ~|A              |   5|   0
212  |HD 215372                          |*  |22 43 40.1812986265 +55 20 30.166179627|     ~| 9.38 | 9.27 |     ~|     ~|A              |   7|   0
213  |HD 214329                          |*  |22 36 11.3899357075 +55 06 09.599777098|     ~| 9.24 | 8.94 |     ~|     ~|A              |   3|   0
214  |HD 217861                          |*  |23 02 54.8773981834 +55 31 14.361822502|     ~| 9.20 | 8.86 |     ~|     ~|A              |   3|   0
215  |HD 216869                          |*  |22 55 35.5489480270 +56 53 19.134392668|     ~| 9.09 | 8.92 |     ~|     ~|A              |   2|   0
216  |HD 218092                          |*  |23 04 32.2488586319 +56 21 18.127075780|     ~| 8.92 | 8.69 |     ~|     ~|A              |   3|   0
217  |HD 217508                          |*  |23 00 20.0131414520 +56 03 01.339498738|     ~| 9.11 | 8.97 |     ~|     ~|A              |   4|   0
218  |HD 218892                          |*  |23 10 55.0798506808 +58 06 30.046721736|     ~| 9.37 | 9.14 |     ~|     ~|A              |   3|   0
219  |CCDM J00104+5831AB                 |** |00 10 24.7050 +58 31 25.969            |     ~| 8.58 | 8.27 |     ~|     ~|A              |  14|   0
220  |HD 583                             |PM*|00 10 24.0909695735 +58 29 22.133260896|     ~| 8.18 | 7.73 |     ~|     ~|A              |  17|   0
221  |HD 236495                          |*  |00 40 36.3923168918 +58 26 19.559981906|     ~|10.38 |10.02 |     ~|     ~|A              |   3|   0
222  |TYC 3667-776-1                     |*  |00 40 35.5554688156 +58 26 46.935759465|     ~|10.96 |10.57 |     ~|     ~|A              |   2|   0
223  |HD 3777                            |*  |00 41 05.4313514733 +57 10 17.669380779|     ~| 7.563| 7.432|     ~|     ~|Am             |  16|   0
224  |HD 236471                          |*  |00 35 34.2202774019 +57 12 27.608085890|     ~| 9.51 | 9.50 |     ~|     ~|ApSi           |  15|   0
225  |TYC 3672-782-1                     |*  |00 57 45.2112624705 +55 25 33.040290922|     ~|10.98 |10.64 |     ~|     ~|A              |   0|   0
226  |HD 236611                          |Be*|01 04 27.4246774811 +57 56 26.411593115|     ~| 9.33 | 9.22 |     ~|     ~|Ae             |  10|   0
227  |HD 5564                            |*  |00 58 18.0954371260 +56 59 18.421007206|     ~| 9.13 | 9.00 |     ~|     ~|A              |   3|   0
228  |HD 8137                            |*  |01 21 58.0086326337 +54 39 11.801297761|     ~| 9.23 | 9.21 |     ~|     ~|A              |   2|   0
229  |HD 7612                            |*  |01 17 14.4663492234 +57 05 55.388430884|     ~| 8.51 | 8.47 |     ~|     ~|A              |   2|   0
230  |HD 7789                            |*  |01 18 38.8626976382 +55 12 42.516342547|     ~| 9.37 | 9.25 |     ~|     ~|A              |   3|   0
231  |HD 7810                            |*  |01 18 57.1155984205 +55 33 24.288078238|     ~| 9.17 | 9.10 |     ~|     ~|A              |   4|   0
232  |HD 8493                            |*  |01 25 05.9725353706 +54 23 26.561591271|     ~| 9.55 | 9.30 |     ~|     ~|A              |   4|   0
233  |HD 9267                            |*  |01 32 27.1557458832 +54 28 59.949567994|     ~| 9.09 | 9.05 |     ~|     ~|A              |   6|   0
234  |HD 9285                            |*  |01 32 38.9802903140 +54 44 49.237147844|     ~| 9.82 | 9.62 |     ~|     ~|A              |   1|   0
235  |HD 11282                           |*  |01 52 12.1015959096 +53 25 27.908688518|     ~|10.19 | 9.80 |     ~|     ~|A              |   1|   0
236  |HD 13012                           |*  |02 09 02.0792763549 +54 02 02.891406932|     ~| 9.44 | 9.40 |     ~|     ~|A              |   4|   0
237  |HD 14054                           |*  |02 18 13.7346177402 +53 26 42.838852104|     ~| 8.91 | 8.80 |     ~|     ~|A              |   3|   0
238  |HD 14063                           |*  |02 18 16.5566260798 +53 29 09.002592087|     ~| 8.66 | 8.64 |     ~|     ~|A              |   6|   0
239  |HD 14620                           |*  |02 23 18.3286067549 +51 17 08.238231575|     ~| 9.46 | 9.40 |     ~|     ~|A              |   2|   0
240  |HD 13912                           |*  |02 17 09.8912142026 +53 22 49.999284478|     ~| 9.55 | 9.30 |     ~|     ~|A              |   2|   0
241  |TYC 3308-368-1                     |dS*|02 44 52.0728797155 +51 01 57.614289417|     ~|11.94 |11.58 |     ~|     ~|A              |   1|   0
242  |HD 19625                           |*  |03 11 18.0094761866 +47 13 30.981337291|     ~| 9.51 | 9.42 |     ~|     ~|A              |   5|   0
243  |HD 19173                           |*  |03 06 51.0643728848 +47 17 22.741343659|     ~| 9.57 | 9.46 |     ~|     ~|A              |   2|   0
244  |HD 22003                           |*  |03 34 25.1453762345 +41 56 58.351943358|     ~| 9.69 | 9.55 |     ~|     ~|A              |   2|   0
245  |HD 275859                          |*  |03 49 49.6449811963 +40 19 24.204042517|     ~|11.14 |10.80 |     ~|     ~|A              |   1|   0
246  |HD 227255                          |*  |20 02 10.1945862947 +41 21 25.231380995|     ~|11.28 |11.22 |     ~|     ~|A              |   2|   0
247  |HD 190401                          |*  |20 03 09.0932572516 +41 28 28.049941010|     ~| 7.334| 6.984|     ~|     ~|Am             |  28|   0
248  |HD 194133                          |*  |20 22 09.0713514668 +44 11 28.120556254|     ~| 9.16 | 9.05 |     ~|     ~|A              |   5|   0
249  |HD 192202                          |*  |20 11 55.0232988397 +43 53 00.960588175|     ~|11.04 |10.81 |     ~|     ~|A              |   2|   0
250  |HD 192242                          |*  |20 12 05.1773583510 +44 01 52.240429782|     ~|11.43 |11.17 |     ~|     ~|A              |   1|   0
251  |BD+44 3448                         |*  |20 23 41.6693633296 +44 35 53.900900532|     ~|10.73 |10.32 |     ~|     ~|A              |   1|   0
252  |BD+44 3450                         |*  |20 23 43.5900583663 +44 35 01.210284118|     ~|11.11 |10.94 |     ~|     ~|A              |   1|   0
253  |TYC 3576-964-1                     |*  |20 23 38.1460745486 +46 56 53.975695105|     ~|11.21 |11.12 |     ~|     ~|A              |   3|   0
254  |BD+45 3150                         |*  |20 21 16.9173925309 +45 47 22.514296525|     ~| 9.49 | 9.21 |     ~|     ~|Am             |   4|   0
255  |HD 192891                          |*  |20 15 26.7325683965 +46 03 41.716656780|     ~| 9.16 | 9.12 |     ~|     ~|A              |   2|   0
256  |HD 193140                          |*  |20 16 49.0838698321 +45 27 57.927176966|     ~| 9.19 | 9.20 |     ~|     ~|A              |   2|   0
257  |HD 194091                          |*  |20 21 55.2014913370 +44 57 15.366414258|     ~| 9.06 | 8.91 |     ~|     ~|A              |   2|   0
258  |HD 192358                          |*  |20 12 36.0525908426 +45 34 40.839508129|     ~|10.96 |10.78 |     ~|     ~|A              |   1|   0
259  |HD 197073                          |*  |20 39 30.2407930034 +48 12 13.036839590|     ~| 8.85 | 8.79 |     ~|     ~|A              |   2|   0
260  |HD 199477                          |*  |20 55 37.6846835747 +49 52 04.843447592|     ~| 9.20 | 9.02 |     ~|     ~|A              |   9|   0
261  |HD 200739                          |*  |21 03 19.6137860634 +50 48 07.071799734|     ~| 8.47 | 8.28 |     ~|     ~|Am             |  21|   0
262  |IRAS 21014+5001                    |*  |21 03 03.2537830499 +50 13 13.046615253|     ~|11.82 |11.50 |11.42 |     ~|Ap             |   9|   0
263  |HD 201583                          |*  |21 08 25.3311235008 +53 38 54.017772399|     ~| 9.45 | 9.33 |     ~|     ~|A              |   1|   0
264  |HD 204101                          |*  |21 24 38.6908036339 +52 29 41.231718621|     ~| 9.27 | 9.20 |     ~|     ~|A              |   3|   0
265  |HD 206054                          |** |21 37 34.6925 +55 45 48.579            |     ~| 9.52 | 9.37 |     ~|     ~|A              |   9|   1
266  |HD 206055                          |*  |21 37 35.5579120831 +55 46 29.322096749|     ~| 9.30 | 9.01 |     ~|     ~|A              |   6|   0
267  |BD+54 2616                         |*  |21 45 57.6444450241 +55 31 57.233760074|     ~|11.64 |10.09 |     ~|     ~|A              |   0|   0
268  |BD+53 2684C                        |*  |21 40 40.0612988798 +54 19 45.048683028|     ~|11.1  |10.8  |     ~|     ~|A              |   1|   0
269  |HD 209480                          |*  |22 02 05.3036530762 +58 02 57.582196778|     ~| 7.53 | 7.56 |     ~|     ~|A              |   6|   0
270  |BD+56 2688                         |*  |22 02 59.0055878017 +56 53 02.413168511|     ~|11.38 |11.00 |     ~|     ~|A              |   0|   0
271  |BD+56 2711                         |*  |22 08 44.4305061658 +56 42 15.553219296|     ~|11.11 |10.66 |     ~|     ~|A              |   0|   0
272  |HD 211136                          |*  |22 13 40.4554272330 +56 36 19.131842571|     ~| 9.65 | 9.49 |     ~|     ~|A              |   3|   0
273  |HD 216412                          |*  |22 51 39.2883792519 +58 52 42.983462146|     ~| 9.42 | 9.08 |     ~|     ~|A              |   3|   0
274  |HD 215922                          |** |22 47 30.9632 +58 32 47.532            |     ~| 9.32 | 9.22 |     ~|     ~|A              |   8|   0
275  |BD+57 2636                         |*  |22 53 56.5847554095 +58 15 44.240328622|     ~| 9.96 | 9.55 |     ~|     ~|Ap             |   4|   0
276  |TYC 3996-1632-1                    |Pu*|22 47 36.4534994664 +58 11 15.186600915|     ~|10.71 |10.354|     ~| 9.831|A              |   6|   0
277  |[D75b] Em* 22-097                  |Em*|22 47 22.4129342762 +58 01 21.551521245|     ~|     ~|14.895|     ~|12.766|Ae             |   7|   0
278  |HD 240261                          |Pe*|23 19 37.6706742706 +60 35 30.542788645|10.75 |10.30 | 9.51 |     ~|     ~|A              |   9|   0
279  |HD 218067                          |*  |23 04 10.5236946961 +59 43 36.515885457|     ~| 8.89 | 8.63 |     ~|     ~|Am             |  18|   0
280  |HD 218780                          |*  |23 09 50.5897015149 +59 17 18.005218592|     ~| 8.22 | 8.11 |     ~|     ~|A              |  12|   0
281  |TYC 4010-173-1                     |*  |23 11 33.2513601371 +59 42 48.556956163|     ~|11.64 |11.17 |     ~|     ~|A              |   0|   0
282  |TYC 3997-2299-1                    |*  |23 06 15.3684434381 +58 34 27.026093294|     ~|11.58 |11.47 |     ~|     ~|A              |   0|   0
283  |HD 223472                          |*  |23 49 38.0994 +60 52 34.937            |     ~| 9.97 | 9.52 |     ~|     ~|A              |   2|   0
284  |HD 223471                          |*  |23 49 37.5185950230 +60 52 23.662080637|     ~| 9.48 | 9.12 |     ~|     ~|A              |   3|   0
285  |HD 223200                          |*  |23 47 13.2083514997 +60 18 52.825763480| 8.49 | 8.82 | 8.50 |     ~|     ~|A              |  12|   0
286  |HD 2136                            |*  |00 26 03.7468735676 +59 06 18.036657818|     ~| 9.03 | 8.95 |     ~|     ~|A              |   3|   0
287  |HD 2387                            |*  |00 28 11.8817942122 +59 05 31.785823741|     ~| 8.99 | 8.87 |     ~|     ~|A              |   7|   0
288  |EM* GGR 183                        |Em*|00 24 59.2703494686 +59 19 31.414962643|     ~|12.76 |12.36 |     ~|     ~|A              |   3|   0
289  |HD 4474                            |*  |00 47 37.7127600785 +59 18 13.412975028|     ~| 9.45 | 9.25 |     ~|     ~|A              |   2|   0
290  |CCDM J00520+5934AB                 |** |00 52 00.3070 +59 34 23.263            |     ~| 9.64 | 9.52 |     ~|     ~|A              |   4|   0
291  |HD 6900                            |*  |01 10 38.2151009577 +58 06 33.546731524|     ~| 9.07 | 8.70 |     ~|     ~|A              |   2|   0
292  |HD 11494                           |*  |01 54 35.3143018194 +56 00 22.504859672|     ~| 9.91 | 9.82 |     ~|     ~|A              |   2|   0
293  |HD 12366                           |*  |02 02 59.9424629001 +57 39 53.023777173|     ~| 9.70 | 9.44 |     ~|     ~|Am             |   7|   0
294  |HD 13636                           |*  |02 14 43.8431221940 +54 26 18.263134169|     ~| 9.45 | 9.42 |     ~|     ~|A              |   3|   0
295  |HD 14303                           |*  |02 20 31.1655440268 +56 03 14.629764473|     ~|10.31 |10.27 |     ~|     ~|A              |   3|   0
296  |HD 15092                           |*  |02 27 37.9011110323 +53 36 51.797632535|     ~| 9.62 | 9.52 |     ~|     ~|A              |   3|   0
297  |HD 16207                           |*  |02 38 04.7529156437 +55 14 47.645741319|     ~|10.15 |10.00 |     ~|     ~|A              |   5|   0
298  |HD 15396                           |*  |02 30 35.2086479437 +54 41 20.277336909|     ~|10.03 | 9.93 |     ~|     ~|A              |   4|   0
299  |HD 14530                           |*  |02 22 41.3193114615 +54 11 25.003630106|     ~| 9.74 | 9.76 |     ~|     ~|A              |   2|   0
300  |HD 15431                           |*  |02 30 50.8246002471 +53 51 39.490796411|     ~| 9.99 | 9.85 |     ~|     ~|A              |   3|   0
301  |TYC 3700-293-1                     |*  |02 47 46.9196 +52 41 11.942            |     ~|11.17 |11.08 |     ~|     ~|A              |   0|   0
302  |BD+52 596                          |*  |02 34 11.7053000718 +52 46 50.465234568|     ~|10.22 |10.01 |     ~|     ~|A              |   1|   0
303  |HD 20314                           |*  |03 17 53.7921951623 +47 38 24.313269005|     ~| 9.30 | 9.21 |     ~|     ~|A              |   4|   0
304  |HD 275965                          |*  |04 00 20.8220594520 +41 58 56.224328668|     ~|10.90 |10.53 |     ~|     ~|A              |   1|   0
305  |HD 188630                          |*  |19 54 20.0307171096 +43 21 23.353214362|     ~|10.78 |10.52 |     ~|     ~|A              |   1|   0
306  |TYC 3144-349-1                     |*  |19 47 55.5188949894 +42 51 48.416763151|     ~|10.79 |10.55 |     ~|     ~|Am             |   2|   0
