C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET22:57:14

sptypes = 'O'
-------------

Number of objects : 1597

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |   spec. type    |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------|----|----
139 |Cl Bochum 15 21                    |*  |07 38 33.4909394627 -33 23 38.690066706|     ~|13.59 |13.36 |     ~|     ~|O                |   2|   0
140 |Cl Bochum 15 26                    |*  |07 39 21.8571165172 -33 38 19.907018526|     ~|13.41 |13.09 |     ~|     ~|O                |   2|   0
141 |FBS 0742+337                       |HS*|07 46 13.1657644147 +33 33 07.671943290|     ~|     ~|15.944|     ~|     ~|sdOHe            |  11|   0
142 |KUV 07564+3723                     |HS*|07 59 44.9742475908 +37 15 03.138976051|     ~|15.9  |16.5  |16.23 |     ~|sdO              |   8|   0
143 |Ton 835                            |HS*|07 56 03.7731870055 +22 26 30.915334344|     ~|13.97 |14.21 |     ~|     ~|sdO              |   7|   0
144 |BD-03 2179                         |HS*|08 02 14.8868948191 -03 58 16.342511529| 8.8  |10.044|10.29 |10.64 |10.60 |sdO              |  38|   0
145 |HD 65865B                          |*  |07 59 46.1460582984 -28 44 06.506980061|     ~|12.93 |14.99 |     ~|     ~|Oe?              |   0|   0
146 |KUV 08102+3843                     |HS*|08 13 29.8135055926 +38 33 26.922654931|     ~|     ~|17.53 |     ~|     ~|sdOHe            |   8|   0
147 |EGGR 266                           |HS*|08 36 12.0334922973 +19 17 56.098863021|     ~|15.68 |15.78 |     ~|     ~|sdO              |   9|   0
148 |PG 0838+133                        |HS*|08 41 43.8594054125 +13 04 29.980598758|     ~|     ~|13.66 |     ~|     ~|sdOC7VIIHe40     |  17|   1
149 |LS 1150                            |HS*|08 46 53.2076636985 -35 23 58.237222020|     ~|12.26 |12.50 |12.79 |     ~|sdO              |   8|   1
150 |Ton 358                            |HS*|08 52 54.6285015049 +31 43 36.648355745|     ~|14.29 |14.59 |14.78 |     ~|sdOA             |  18|   0
151 |PG 0848+186                        |HS*|08 51 44.4697565928 +18 27 22.544881440|     ~|13.09 |     ~|     ~|     ~|sdOA             |  11|   0
152 |BPS CS 22881-0069                  |HS*|22 19 01.7901640584 -41 23 31.722854262|12.34 |13.56 |13.89 |     ~|     ~|sdOHe            |   9|   0
153 |KK 345-12                          |HS*|22 21 05.1569315230 -41 57 41.929730162|15.11 |15.16 |14.86 |     ~|     ~|sdO              |   5|   0
154 |SB 705                             |HS*|01 43 07.5025809127 -38 33 16.231538100|     ~|12.97 |13.01 |     ~|     ~|sdOHe            |  18|   0
155 |Ton S 71                           |HS*|22 44 47.6783487671 -28 00 56.081755303|     ~|15.13 |15.46 |15.92 |     ~|sdO              |   4|   0
156 |PHL 178                            |HS*|21 51 13.0755996309 -21 07 04.258785645|11.65 |12.92 |12.50 |     ~|     ~|sdOHe            |   7|   0
157 |Ton S 85                           |HS*|23 08 56.9124238902 -23 31 56.411764465|     ~|15.63 |15.84 |16.12 |     ~|sdOHe            |   5|   0
158 |PHL 378                            |HS*|22 42 31.2507818906 -19 41 08.087795659|     ~|15.23 |15.48 |14.87 |     ~|sdO              |   3|   0
