C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:40:58

sptypes = 'M'
-------------

Number of objects : 3876

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
188 |V* V1190 Cyg                       |S* |20 16 20.4108819735 +54 09 15.307005379|     ~|     ~|     ~|     ~|     ~|MS             |  10|   0
189 |IRAS 21039+6004                    |*  |21 05 07.2556836383 +60 16 20.172338522|     ~|12.28 |10.38 |     ~|     ~|M              |   1|   0
190 |V* V461 Cep                        |LP?|23 49 09.1298353798 +68 40 06.837734675|     ~|10.23 | 8.23 |     ~|     ~|M              |   5|   0
191 |[D75b] Star 16                     |S* |02 38 33.4517506259 +61 54 31.258173094|     ~|15.6  |     ~|     ~|     ~|MS             |   5|   0
192 |BD+48 2908                         |*  |19 31 50.4394958027 +48 32 13.143196614|     ~|11.20 | 9.69 |     ~|     ~|M              |   0|   0
193 |BD+69 1214                         |*  |22 01 08.5413917830 +70 01 19.482916734|     ~|11.56 | 9.58 |     ~|     ~|M              |   0|   0
194 |HD 232868                          |*  |04 00 46.5575153576 +54 27 47.366554140|     ~|11.64 |10.31 |     ~|     ~|M              |   1|   0
195 |EM* AS 79                          |Em*|04 02 13.4419366115 +54 04 15.909037971|     ~|13.96 |11.29 |     ~|     ~|Me             |   6|   0
196 |G 205-57                           |EB*|19 10 14.284032 +46 57 24.10632        |     ~|14.93 |13.38 |13.01 |     ~|M+M            |  51|   0
197 |HD 234904                          |*  |19 28 57.8374380385 +54 27 56.574280023|     ~|11.52 |10.07 |     ~|     ~|M              |   1|   0
198 |V* AP Cep                          |Mi*|00 21 54.0745634688 +76 27 06.905492253|     ~|     ~|     ~|     ~|     ~|Me             |   6|   0
199 |[D75b] Star 28                     |S* |04 59 15.2509156854 +47 36 01.165847095|     ~|15.9  |     ~|     ~|     ~|MS             |   3|   0
200 |IRAS 03569+6909                    |FIR|04 02 02.9 +69 18 05                   |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
201 |IRAS 04156+6939                    |FIR|04 20 58.7 +69 46 17                   |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
202 |2MASS J04300315+6451427            |Y*O|04 30 03.1653231856 +64 51 42.850966377|     ~|     ~|     ~|     ~|     ~|M              |   3|   0
203 |CXOPS J043058.3+644852             |*  |04 30 58.3 +64 48 52                   |     ~|     ~|     ~|     ~|     ~|MV:e           |   1|   0
204 |[ZGH2005] XS00782B7-018            |*  |04 30 39.0 +64 50 13                   |     ~|     ~|     ~|     ~|     ~|MV:e           |   1|   0
205 |* 9 Aur B                          |PM*|05 06 41.1213247174 +51 35 53.240803194|     ~|     ~|     ~|     ~|     ~|MV             |   5|   0
206 |[D75b] Star 30                     |S* |05 11 33.5983762298 +47 40 46.697893156|     ~|15.1  |     ~|     ~|     ~|MS             |   5|   0
207 |S1* 92                             |S* |05 12 30.7324703541 +46 53 18.382466248|     ~|     ~|     ~|     ~|     ~|MS             |   7|   0
208 |V* HQ Dra                          |LP?|18 55 34.1394685545 +67 22 50.392933182|     ~|10.71 | 9.24 |     ~|     ~|M              |   6|   0
209 |HD 180755                          |*  |19 12 41.2240787409 +67 35 13.768246092|     ~|10.69 | 9.06 |     ~|     ~|M              |   1|   0
210 |V* IK Dra                          |LP?|19 56 08.8581110263 +76 27 00.638510584|     ~| 9.95 | 8.15 |     ~|     ~|Ma             |  10|   0
211 |IRAS 04181+7244                    |FIR|04 23 57.4 +72 51 26                   |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
212 |2MASS J18342024+5909162            |*  |18 34 20.2387710595 +59 09 16.165002427|     ~|17.8  |     ~|     ~|     ~|MV:e           |   1|   0
213 |2MASS J18353263+5915419            |PM*|18 35 32.6367452078 +59 15 41.940769387|     ~|16.7  |     ~|     ~|     ~|MV:e           |   2|   0
214 |RX J1836.0+5924                    |*  |18 36 00.1270744625 +59 24 55.449186335|     ~|19.4  |     ~|     ~|     ~|MV:e           |   1|   0
215 |LP 1-169                           |PM*|01 10 02.2858775893 +86 56 23.308747299|     ~|15.24 |13.88 |13.48 |     ~|M              |   4|   0
216 |BD+83 68                           |*  |03 10 39.0640065088 +83 43 48.555969683|     ~|11.16 | 9.50 |     ~|     ~|M              |   1|   0
217 |FBS 0440+789                       |*  |04 48 19.2 +79 00 23                   |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
218 |WOH S 275                          |*  |05 25 32.1487415854 -66 39 37.504935368|     ~|     ~|13.94 |12.97 |     ~|M              |   3|   0
219 |BD+62 760                          |*  |05 30 17.7588430534 +63 03 19.555503142|     ~|10.93 | 9.16 |     ~|     ~|M              |   0|   0
220 |G 259-30                           |PM*|18 27 31.1984154307 +78 04 00.879845195|     ~|     ~|     ~|11.191|     ~|M              |   9|   0
221 |V* X UMi                           |Mi*|20 19 55.5272938234 +88 16 27.689068856|     ~|     ~|     ~|     ~|     ~|Me             |   9|   0
222 |FBS 0516+748                       |*  |05 23 23.8 +74 55 03                   |     ~|     ~|15.1  |     ~|     ~|M              |   1|   0
223 |IRAS 05400+7114                    |FIR|05 45 54.5 +71 16 02                   |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
224 |1RXS J173804.9+650933              |*  |17 38 04.901 +65 09 32.98              |     ~|     ~|     ~|     ~|     ~|M              |   2|   0
225 |BD+86 238                          |*  |15 48 10.4443 +85 48 50.199            |     ~|12.15 |10.65 |     ~|     ~|M              |   0|   0
226 |BD+84 373                          |*  |16 45 49.1552295096 +84 28 48.458937011|     ~|11.63 |10.21 |     ~|     ~|M              |   0|   0
227 |TYC 4533-1534-1                    |*  |06 20 56.5145553062 +79 49 55.881525962|     ~|11.83 | 9.95 |     ~|     ~|M              |   0|   0
228 |IRAS 06046+7112                    |FIR|06 10 31.3 +71 12 18                   |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
229 |BD+65 508                          |*  |06 01 45.8433285557 +65 14 41.187008124|     ~|10.82 | 9.83 |     ~|     ~|M              |   1|   0
230 |[FS2003] 0916                      |PM*|17 45 31.8443669154 +51 24 15.873480010|     ~|     ~|     ~|     ~|     ~|M              |   2|   0
231 |G 226-60                           |PM*|17 22 42.9802627829 +60 08 21.375056891|     ~|15.2  |     ~|13.6  |     ~|MV             |   8|   0
232 |[AUO2003] J171109.04+711229.5      |*  |17 11 09.04 +71 12 29.5                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
233 |2MASS J16294455+7811278            |*  |16 29 44.5601166042 +78 11 27.739163585|     ~|     ~|16.0  |     ~|     ~|MV:e           |   6|   0
234 |BD+83 444                          |*  |15 12 36.7903102609 +82 56 24.796008548|     ~|12.08 |10.80 |     ~|     ~|M              |   0|   0
235 |V* FF Cep                          |Mi*|08 26 50.5155333243 +85 07 02.092350732|     ~|11.99 |10.56 |     ~|     ~|M              |   4|   0
236 |LP 34-134                          |PM*|07 04 17.9508216502 +71 51 46.082457337|     ~|18.1  |     ~|16.1  |     ~|M              |   9|   0
237 |IRAS 06470+7146                    |FIR|06 52 56.4 +71 42 36                   |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
238 |V* KQ Aur                          |LP*|06 15 17.5694536091 +50 12 02.933630521|     ~|11.36 | 9.59 |     ~|     ~|M              |   0|   0
239 |BD+83 406                          |*  |14 00 46.9270635379 +82 22 05.644655622|     ~|12.26 |10.73 |     ~|     ~|M              |   0|   0
240 |BD+82 369                          |*  |12 34 50.1227315753 +81 29 31.111250986|     ~|11.36 | 9.68 |     ~|     ~|M              |   0|   0
241 |BD+83 315                          |*  |11 03 35.4274941210 +82 13 38.080950203|     ~|11.88 |10.54 |     ~|     ~|M              |   0|   0
242 |BD+76 322                          |*  |08 28 56.1138630515 +76 18 28.218391577|     ~|11.84 |10.61 |     ~|     ~|M              |   4|   0
243 |RX J0652.2+6246                    |*  |06 52 16.8 +62 47 10                   |     ~|15.3  |     ~|     ~|     ~|M              |   1|   0
244 |2MASS J07084504+6135180            |*  |07 08 45.05 +61 35 18.0                |     ~|16.54 |15.31 |     ~|     ~|M              |   4|   0
245 |RX J163356.2+571550                |*  |16 33 56.60 +57 15 48.0                |     ~|     ~|16.0  |     ~|     ~|Me             |   2|   0
246 |RX J1555.7+6840                    |*  |15 55 47.99 +68 40 13.8                |     ~|     ~|11.7  |     ~|     ~|MV:e           |   7|   0
247 |HD 238502                          |*  |15 44 22.2400357604 +58 47 33.745089688|     ~|11.48 | 9.79 | 9.1  |     ~|M              |   7|   0
248 |PG 1146+722                        |PM*|11 49 40.3595571702 +71 53 48.440889394|     ~|15.53 |13.97 |13.52 |     ~|dMe            |   1|   0
249 |FBS 0438+695                       |*  |10 31 58.9 +69 16 19                   |     ~|     ~|12.2  |     ~|     ~|M              |   1|   0
250 |V* SY Lyn                          |LP*|07 49 29.3750044170 +53 07 52.591801259|     ~|12.74 |10.77 |     ~|     ~|M              |   3|   0
251 |BD+46 2180                         |*  |16 28 51.7304256300 +45 57 23.634884713|     ~|12.30 |10.75 |     ~|     ~|M              |   4|   0
252 |2E 0958.1+6706                     |*  |10 02 03.0 +66 51 58                   |     ~|     ~|11.50 |     ~|     ~|Me             |   5|   0
253 |HS 1610+4515                       |*  |16 11 38.2187715276 +45 07 22.548352929|     ~|18.7  |     ~|     ~|     ~|M              |   1|   0
254 |CSS 405                            |S* |07 50 43.6111812604 +47 00 14.270182564|     ~|12.44 |11.02 |     ~|     ~|MSwk           |   2|   0
255 |HS 1540+4829                       |*  |15 41 51.9 +48 19 59                   |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
256 |G 200-39                           |PM*|14 27 37.0736031321 +53 47 49.062219010|     ~|13.19 |11.90 |11.509|     ~|sdM            |  16|   0
257 |BD+42 1793                         |*  |07 59 56.2292449620 +41 53 24.362750403|     ~|11.25 | 9.60 |     ~|     ~|M              |   0|   0
258 |V* FO Boo                          |LP?|15 39 32.0579615708 +42 41 49.007274824|     ~| 9.20 | 7.72 |     ~|     ~|Ma             |   7|   0
259 |HS 1516+4441                       |*  |15 18 02.956 +44 30 54.00              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
260 |1E 1408+52.3                       |*  |14 10 24.7 +52 09 27                   |     ~|16.5  |     ~|     ~|     ~|MV:            |   1|   0
261 |BD+44 2448                         |*  |15 18 43.3053035865 +44 02 38.520238577|     ~|11.47 |10.00 |     ~|     ~|M              |   0|   0
262 |2MASS J13383336+5316427            |*  |13 38 33.37 +53 16 42.8                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
263 |PG 0943+489                        |*  |09 46 19.8669799176 +48 38 22.514066918|     ~|14.61 |12.99 |12.61 |     ~|dMe            |   6|   0
264 |HS 1353+4706                       |*  |13 55 25.6 +46 51 51                   |     ~|     ~|     ~|     ~|     ~|M              |   3|   0
265 |HS 1359+4918                       |*  |14 01 17.5237506889 +49 04 02.628547685|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
266 |V* CT CVn                          |LP*|13 47 10.9047133368 +47 43 44.840925530|     ~| 9.03 | 7.69 |     ~|     ~|Ma             |  12|   0
267 |RX J1148.0+5116                    |*  |11 48 01.92 +51 16 29.6                |     ~|     ~|     ~|     ~|     ~|M              |   5|   0
268 |[SOM2002] 2418                     |*  |09 42 42.925 +47 00 53.59              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
269 |2MASS J09130919+4509162            |RG*|09 13 09.1920379097 +45 09 16.279253946|     ~|12.81 |11.57 |11.1  |     ~|M              |   3|   0
270 |2MASS J09034712+4149437            |RG*|09 03 47.1368067215 +41 49 43.619008604|     ~|11.30 | 9.95 |     ~|     ~|M              |   1|   0
271 |V* ZZ CVn                          |LP*|13 59 11.0985553815 +45 28 16.373729389|     ~|11.20 |10.05 |     ~|     ~|M              |   4|   0
272 |V* CO CVn                          |LP*|13 30 12.6627702279 +45 44 06.868957019|     ~| 8.74 | 7.22 |     ~|     ~|Ma             |  10|   0
273 |HS 1334+4650                       |*  |13 36 13.3 +46 35 01                   |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
274 |SN 1992W                           |*  |12 50 22.9570966007 +48 05 25.491847485|     ~|     ~|     ~|     ~|     ~|M              |   5|   2
275 |2MASS J11251806+4951579            |*  |11 25 18.0132422040 +49 51 57.457528181|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
276 |HS 1005+4532                       |*  |10 08 53.2297962128 +45 17 53.566312619|     ~|19.0  |     ~|     ~|     ~|M              |   1|   0
277 |HS 1246+4514                       |*  |12 48 32.1358496030 +44 58 12.209297986|     ~|19.0  |     ~|     ~|     ~|M              |   1|   0
278 |CLS 10                             |*  |09 15 25.0259553733 +37 50 30.527058519|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
279 |BD+02 494                          |*  |03 11 02.8696766220 +03 14 31.045197959|     ~|12.39 |10.85 |     ~|     ~|M              |   0|   0
280 |WT 1337                            |PM*|03 10 00.8398855682 -08 39 40.724765909|     ~|15.5  |     ~|     ~|     ~|M              |   3|   0
281 |[BEM91] 29                         |*  |03 09 54.4888173829 -27 31 25.401989673|     ~|12.51 |11.55 |10.91 |     ~|M              |   1|   0
282 |[LM84] 3-7                         |*  |03 00 58.33 -34 40 52.7                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
283 |[LM84] 3-11                        |*  |03 02 51.64 -35 27 42.8                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
284 |[LM84] 3-15                        |*  |03 05 32.79 -35 45 43.2                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
285 |WISE J031049.48-361647.3           |*  |03 10 49.41024 -36 16 47.1288          |     ~|     ~|     ~|     ~|     ~|MV             |   6|   0
286 |LP 942-107                         |PM*|03 05 11.2101081621 -34 05 24.015083487|     ~|15.476|13.923|13.775|11.12 |MV             |  15|   0
287 |2MASS J03064688-3434549            |PM*|03 06 46.9136547097 -34 34 54.918298990|     ~|     ~|     ~|     ~|     ~|MV             |   2|   0
288 |BPM 48035                          |PM*|03 07 57.2839442650 -35 11 27.217590912|     ~|14.2  |     ~|     ~|     ~|MV             |   2|   0
289 |G 79-16                            |PM*|03 14 08.1217661224 +08 33 46.744332266|     ~|14.53 |     ~|12.717|     ~|M              |  12|   0
290 |KUV 03134-0001                     |UV |03 16 00.2315186481 +00 09 46.500446962|     ~|16.5  |     ~|     ~|     ~|M              |   2|   0
291 |[BEM91] 16                         |*  |03 11 43.9202683666 -11 45 16.379871631|     ~|     ~|     ~|11.23 |     ~|M              |   1|   0
292 |V* RY For                          |bL*|03 15 53.462 -24 41 31.90              |     ~|     ~| 9.950|     ~|     ~|M              |   5|   0
293 |[LM84] 3-27                        |PM*|03 14 45.1305046364 -34 08 20.107409393|     ~|     ~|     ~|     ~|     ~|MV             |   2|   0
294 |[LM84] 3-34                        |*  |03 17 09.56 -34 18 33.7                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
295 |CD-34 1169                         |PM*|03 14 19.7570262037 -34 02 02.904603778|     ~|13.0  |     ~|11.944|     ~|MV             |   7|   0
296 |BPM 48103                          |*  |03 13 02.70 -34 57 43.2                |     ~|13.9  |     ~|     ~|     ~|MV             |   1|   0
297 |BPM 48104                          |*  |03 13 03.44 -35 02 35.1                |     ~|14.3  |     ~|     ~|     ~|MV             |   1|   0
298 |[LM84] 3-20                        |*  |03 11 16.63 -35 51 07.5                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
299 |[LM84] 3-28                        |*  |03 14 52.83 -35 44 50.3                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
300 |[LM84] 3-32                        |PM*|03 16 40.8924614458 -34 50 18.760937881|     ~|     ~|     ~|     ~|     ~|MV             |   2|   0
301 |2MASS J03190579-3445103            |PM*|03 19 05.8052333915 -34 45 10.364770625|     ~|     ~|     ~|     ~|     ~|MV             |   2|   0
302 |BD+01 603                          |*  |03 29 13.0669049040 +02 13 13.147619258|     ~|11.98 |11.02 |     ~|     ~|M              |   0|   0
303 |BD-22 618                          |*  |03 30 42.7649346507 -22 19 17.843320654|     ~|11.27 | 9.82 |     ~|     ~|M              |   6|   0
304 |[LBX2017] 780                      |PM*|03 32 42.0048528790 -27 57 02.844399374|     ~|15.50 |14.78 |15.38 |14.53 |M              |  18|   0
305 |[PSZ2003] J034443.8+321351         |*  |03 44 43.8 +32 13 51                   |     ~|     ~|     ~|     ~|     ~|M              |   2|   0
306 |Cl Melotte 22 259                  |*  |03 44 03.8786055794 +24 11 20.982850853|     ~|13.51 |12.94 |12.77 |     ~|M              |   6|   0
307 |BD+04 574                          |*  |03 41 17.5978187139 +04 37 59.953815988|     ~|11.02 | 9.21 |     ~|     ~|M              |   0|   0
308 |BD-16 681                          |*  |03 40 00.2288831579 -16 18 22.385479287|     ~|11.05 | 9.54 |     ~|     ~|M              |   0|   0
